correspondence_id,historical_record_id,historical_form_diplomatic,historical_matched_component,historical_printed_page,historical_graphic_key,modern_record_id,modern_headword,modern_matched_component,modern_graphic_key,modern_classification,modern_translation_raw,modern_source_code,edit_distance,similarity,relation_type,candidate_status,modern_commit,human_reviewed,review_decision
RHD-PCORR-000034,RHD-S1809-01683,Báſſa,Báſſa,354,bassa,RD-000195,Basá,Basá,basa,Vt,Apedrear,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000035,RHD-S1809-01688,Boní,Boní,355,boni,RD-000263,Biní,Biní,bini,S,Hermana menor (de mujer),SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000036,RHD-S1809-01691,Bucú,Bucú,355,bucu,RD-000346,Burú,Burú,buru,Vi,Estar el camino (hacia e l lugar mencionado),SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000037,RHD-S1809-01693,Buké,Buké,355,buke,RD-000337,Bujé,Bujé,buje,Vi,"Cobrar, quitar algo, multar",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000038,RHD-S1809-01693,Buké,Buké,355,buke,RD-000342,Buré,Buré,bure,Vi,Amarrar,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000039,RHD-S1809-01693,Buké,Buké,355,buke,RD-000350,Busé,Busé,buse,Vi,Tener ojos,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000040,RHD-S1809-01697,Bulá,Bulá,355,bula,RD-000338,Buná,Buná,buna,Vi,1. Agacharse 2. Inclinarse,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000041,RHD-S1809-01697,Bulá,Bulá,355,bula,RD-000341,Burá,Burá,bura,Vt,Hacer camino,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000042,RHD-S1809-01697,Bulá,Bulá,355,bula,RD-000349,Busá,Busá,busa,Vi,Despertarse,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000043,RHD-S1809-01700,Búra,Búra,355,bura,RD-000187,Bará,Bará,bara,S,El tiempo de lluvias,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000044,RHD-S1809-01700,Búra,Búra,355,bura,RD-000338,Buná,Buná,buna,Vi,1. Agacharse 2. Inclinarse,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000045,RHD-S1809-01700,Búra,Búra,355,bura,RD-000342,Buré,Buré,bure,Vi,Amarrar,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000046,RHD-S1809-01704,Cajena,Cajena,355,cajena,RD-000388,Cajera,Cajera,cajera,S,"Cáscara delgada, vaina",SRC-02,1,0.8333,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000047,RHD-S1809-01704,Cajena,Cajena,355,cajena,RD-000470,Cayena,Cayena,cayena,Vt,"1. terminar, levantar 2. cosechar",SRC-02,1,0.8333,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000048,RHD-S1809-01706,Caitá,Caitá,355,caita,RD-000364,Cabita,Cabita,cabita,Vi,Rodarse (una cosa larga),SRC-02,1,0.8333,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000049,RHD-S1809-01706,Caitá,Caitá,355,caita,RD-000464,Catá,Catá,cata,S,s arco,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000050,RHD-S1809-01712,Comó?,Comó,355,como,RD-000504,Comí,Comí,comi,Vi,1. Estar bajo 2. Hacer arroyo,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000051,RHD-S1809-01712,Comó?,Comó,355,como,RD-000536,Coró,Coró,coro,S,"Zopilote pinto, rayado",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000052,RHD-S1809-01712,Comó?,Comó,355,como,RD-000547,Cosó,Cosó,coso,Vi,Ahogarse (al tragar).,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000053,RHD-S1809-01737,Coló,Coló,355,colo,RD-000536,Coró,Coró,coro,S,"Zopilote pinto, rayado",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000054,RHD-S1809-01737,Coló,Coló,355,colo,RD-000547,Cosó,Cosó,coso,Vi,Ahogarse (al tragar).,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000055,RHD-S1809-01741,Colé,Colé,355,cole,RD-000552,Coyé,Coyé,coye,Vi,Ponerse el paño de lienzo en la cabeza,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000056,RHD-S1809-01748,Cavára,Cavára,356,cavara,RD-000450,Casará,Casará,casara,S,"Zacate, hierba del campo, pasto",SRC-02,1,0.8333,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
