attestation_id,de_rar_record_id,de_rar_headword_diplomatic,de_rar_printed_page,rar_de_record_id,rar_de_component_index,rar_de_form_diplomatic,rar_de_german_gloss_local,rar_de_printed_page,graphic_key,short_form_warning,reciprocal_german_support,reciprocal_support_type,human_reviewed
RHD-IATT-000761,RHD-S1809-01284,Stößel,344,RHD-S1809-02028,1,Muliki,"Stempel, Stößel",361,muliki,False,True,german_headword_gloss_containment,False
RHD-IATT-000762,RHD-S1809-01286,Strafen,344,RHD-S1809-02022,1,Muhé,"muhéli, Du",361,muhe,False,False,none,False
RHD-IATT-000763,RHD-S1809-01288,Straße,344,RHD-S1809-02199,1,Poveke,"Steig, gebahnter Weg",364,poveke,False,False,none,False
RHD-IATT-000764,RHD-S1809-01294,Stuhl,344,RHD-S1809-01910,1,Jaſſála,"Sitz, Stuhl, Bank",358,jassala,False,True,german_headword_gloss_containment,False
RHD-IATT-000765,RHD-S1809-01295,Süd,344,RHD-S1809-02223,1,Rachpé,Wenig,364,rachpe,False,False,none,False
RHD-IATT-000766,RHD-S1809-01297,Stute,345,RHD-S1809-01717,1,Caú,"Pferd, Roß",355,cau,True,False,none,False
RHD-IATT-000767,RHD-S1809-01298,Suchen,345,RHD-S1809-00035,1,Amé,Suchen,353,ame,True,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000768,RHD-S1809-01298,Suchen,345,RHD-S1809-01651,1,Amela,Man ſoll oder muß ſuchen,353,amela,False,True,german_headword_gloss_containment,False
RHD-IATT-000769,RHD-S1809-01301,Sünder,345,RHD-S1809-02470,1,Tſetijolájameke,Uebelthäter,368,tsetijolajameke,False,False,none,False
RHD-IATT-000770,RHD-S1809-01302,Sündigen,345,RHD-S1809-02469,1,Tſetijolá,Böſes thun,368,tsetijola,False,False,none,False
RHD-IATT-000771,RHD-S1809-01303,Suppe,345,RHD-S1809-00056,1,Pauguila,Suppe,363,pauguila,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000772,RHD-S1809-01303,Suppe,345,RHD-S1809-01790,1,Eskíate,Ist eine vom türkischen Waizengries dünn eingekochte Suppe,356,eskiate,False,True,german_headword_gloss_containment,False
RHD-IATT-000773,RHD-S1809-01303,Suppe,345,RHD-S1809-01976,1,Kiolíki,Gekochte dünne Suppe von türkischem Weitzengries,360,kioliki,False,True,german_headword_gloss_containment,False
RHD-IATT-000774,RHD-S1809-01304,Süß,345,RHD-S1809-01950,1,Kachká,Es ist süß,359,kachka,False,True,german_headword_gloss_containment,False
RHD-IATT-000775,RHD-S1809-01304,Süß,345,RHD-S1809-01951,1,Kachkágameke,Süß,359,kachkagameke,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000776,RHD-S1809-01307,Taback,345,RHD-S1809-02483,1,Uipáca,Taback,368,uipaca,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000777,RHD-S1809-01310,Tanz,345,RHD-S1809-01911,1,Jauguila,Tanz,358,jauguila,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000778,RHD-S1809-01316,Thüre,346,RHD-S1809-01787,1,Éra,Thüre,356,era,True,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000779,RHD-S1809-01322,Taub,346,RHD-S1809-02049,1,Nacheatule,"Gehörlos, Taub",361,nacheatule,False,True,german_headword_gloss_containment,False
RHD-IATT-000780,RHD-S1809-01323,Taufe,346,RHD-S1809-00057,1,Pauvoliki,Abwaſchung,363,pauvoliki,False,False,none,False
