triage_id,source_candidate_id,de_rar_record_id,de_rar_headword_diplomatic,candidate_span_diplomatic,graphic_key,printed_page,profile_class,machine_signal_confidence,review_priority_tier,profile_log_likelihood_ratio,german_anchor_token_ratio,nearest_rar_de_graphic_key,nearest_rar_de_edit_distance,nearest_rar_de_similarity,human_reviewed,decision
RHD-RTRI-001101,RHD-RSPAN-000844,RHD-S1809-00998,Papier,was z,was z,335,german_context_profile_signal,high_machine_context_signal,4,-1.0595,1.0,,,0.0,False,not_assessed
RHD-RTRI-001102,RHD-RSPAN-000608,RHD-S1809-00754,Ja,was ſie hören,was sie horen,325,german_context_profile_signal,high_machine_context_signal,4,-1.0612,1.0,,,0.0,False,not_assessed
RHD-RTRI-001103,RHD-RSPAN-000069,RHD-S1809-00107,Apatſchee,und Maulthiere davongetrieben,und maulthiere davongetrieben,302,mixed_or_uncertain_profile,low_machine_signal,4,-1.0685,0.667,,,0.0,False,not_assessed
RHD-RTRI-001104,RHD-RSPAN-000035,RHD-S1809-00074,Aloe,darüber kommen Steine,daruber kommen steine,301,mixed_or_uncertain_profile,low_machine_signal,4,-1.0688,0.333,,,0.0,False,not_assessed
RHD-RTRI-001105,RHD-RSPAN-001021,RHD-S1809-01209,Sohn,Der drittgeborne Sohn,der drittgeborne sohn,341,mixed_or_uncertain_profile,low_machine_signal,4,-1.0765,0.667,,,0.0,False,not_assessed
RHD-RTRI-001106,RHD-RSPAN-000263,RHD-S1809-00337,Dorfrichter,Das heißt eigentlich,das heisst eigentlich,312,mixed_or_uncertain_profile,low_machine_signal,4,-1.0793,0.667,,,0.0,False,not_assessed
RHD-RTRI-001107,RHD-RSPAN-000636,RHD-S1809-00758,Ich,ſagen ſie,sagen sie,326,german_context_profile_signal,high_machine_context_signal,4,-1.0797,1.0,saateameke,5,0.5,False,not_assessed
RHD-RTRI-001108,RHD-RSPAN-001097,RHD-S1809-01286,Strafen,ſagen ſie,sagen sie,344,german_context_profile_signal,high_machine_context_signal,4,-1.0797,1.0,saateameke,5,0.5,False,not_assessed
RHD-RTRI-001109,RHD-RSPAN-001173,RHD-S1809-01382,Ungleich,ſagen ſie,sagen sie,347,german_context_profile_signal,high_machine_context_signal,4,-1.0797,1.0,saateameke,5,0.5,False,not_assessed
RHD-RTRI-001110,RHD-RSPAN-000713,RHD-S1809-00856,Lang,Nebenwort der Zeit,nebenwort der zeit,328,mixed_or_uncertain_profile,low_machine_signal,4,-1.0833,0.667,,,0.0,False,not_assessed
RHD-RTRI-001111,RHD-RSPAN-001422,RHD-S1809-01607,Zimmer,der ihn beſucht,der ihn besucht,352,mixed_or_uncertain_profile,low_machine_signal,4,-1.0849,0.333,,,0.0,False,not_assessed
RHD-RTRI-001112,RHD-RSPAN-000287,RHD-S1809-00369,Ehe,Zur Ehe nehmen,zur ehe nehmen,313,german_context_profile_signal,high_machine_context_signal,4,-1.0968,1.0,,,0.0,False,not_assessed
RHD-RTRI-001113,RHD-RSPAN-001216,RHD-S1809-01438,Verhexen,Verhext,verhext,347,mixed_or_uncertain_profile,low_machine_signal,4,-1.0974,0.0,verendo,4,0.429,False,not_assessed
RHD-RTRI-001114,RHD-RSPAN-000254,RHD-S1809-00331,Dieſer,fragweiſe,fragweise,312,mixed_or_uncertain_profile,low_machine_signal,4,-1.1029,0.0,,,0.0,False,not_assessed
RHD-RTRI-001115,RHD-RSPAN-001413,RHD-S1809-01600,Zeugen,Gezeugt,gezeugt,352,mixed_or_uncertain_profile,low_machine_signal,4,-1.1042,0.0,gaele,5,0.286,False,not_assessed
RHD-RTRI-001116,RHD-RSPAN-000621,RHD-S1809-00756,Jahr,Zwey Jahre,zwey jahre,325,german_context_profile_signal,high_machine_context_signal,4,-1.1092,1.0,,,0.0,False,not_assessed
RHD-RTRI-001117,RHD-RSPAN-000045,RHD-S1809-00085,Alt,Ein alter Mann,ein alter mann,302,german_context_profile_signal,high_machine_context_signal,4,-1.112,1.0,echtschiruc,5,0.643,False,not_assessed
