recovery_id,graphic_key,surface_forms,occurrence_count,distinct_de_rar_record_count,de_rar_headwords,printed_pages,best_profile_class,best_profile_log_likelihood_ratio,nearest_rar_de_graphic_key,nearest_rar_de_similarity,evidence_grade,human_reviewed,decision
RHD-RREC-000053,malagala,Malagála,3,3,Degen | Schwert | Säbel,312 | 338 | 340,strong_raramuri_profile_signal,1.958,maguali,0.5,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000054,matschiruje,Matſchiruje,3,3,Bothſchaft bringen | Unterrichten | Zeigen,310 | 347 | 352,strong_raramuri_profile_signal,1.8597,matschisimi,0.636,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000055,guitaje,guitaje,2,2,Für | Wegen,319 | 350,strong_raramuri_profile_signal,2.7581,guale,0.571,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000056,petsilaca,Petſilaca | Petſiláca,2,2,Beſen,308,strong_raramuri_profile_signal,2.2063,petsimela,0.667,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000057,bealiki,Bealíki | bealíki,2,2,Früh | Morgen,319 | 332,strong_raramuri_profile_signal,2.1834,balsi,0.571,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000058,pauguimanila,Pauguimaníla | Pauguímanila,2,2,Moraſt | See,332 | 340,strong_raramuri_profile_signal,2.143,pabahischie,0.583,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000059,igue ga,Igué ga | Igué gá,2,2,Geſchmack | Schmackhaft,320 | 339,strong_raramuri_profile_signal,2.1236,igua,0.571,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000060,pugue rachpeco,pugue rachpeco | pugué rachpéco,2,2,Alſo | Hernach,302 | 324,strong_raramuri_profile_signal,2.0725,pabahischie,0.643,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000061,ta matschigameke,Tá matſchigameke,2,2,Unkundig | Unwiſſend,347,strong_raramuri_profile_signal,2.0007,ta guetsi joma,0.688,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000062,ta matschiga,Ta matſchiga | Tá matſchiga,2,2,Unverſehens | Unverſehrt,347,strong_raramuri_profile_signal,1.8236,ta guetsi joma,0.643,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000063,upila,Upila | Upíla,2,2,Eheweib | Gemahlinn,313 | 320,strong_raramuri_profile_signal,1.7445,uili,0.6,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000064,sakiruje,Sakiruje | Sakíruje,2,2,Dörren | Trocknen,312 | 346,strong_raramuri_profile_signal,1.7428,satuje,0.625,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000065,taslo upeameke,Taſló upéameke,2,2,Unbeweibt | Unverehelicht,347,strong_raramuri_profile_signal,1.7093,ta guetsi joma,0.643,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000066,paugui,Paugui,1,1,Fluß,318,strong_raramuri_profile_signal,3.0969,pauguo,0.833,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000067,guitsoco,Guitſoco,1,1,Alsdann,302,strong_raramuri_profile_signal,2.8086,guitloco,0.875,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000068,soiguala,Soiguala,1,1,Dorn,312,strong_raramuri_profile_signal,2.7787,siguaca,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000069,uila,uíla,1,1,Seil,340,strong_raramuri_profile_signal,2.7598,uili,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000070,petsiki,Petſiki,1,1,Kehren,326,strong_raramuri_profile_signal,2.7267,pusiki,0.714,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000071,comigua,Comiguá,1,1,Gieſſen,322,strong_raramuri_profile_signal,2.6936,coigua,0.857,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000072,pugueameke,pugueameke,1,1,Warten,350,strong_raramuri_profile_signal,2.6567,pamagueameke,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000073,jejegaliki,Jejegalíki,1,1,Lüge,330,strong_raramuri_profile_signal,2.6284,jumagaliki,0.7,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000074,guechpiloco,Guechpilóco,1,1,Geißeln,320,strong_raramuri_profile_signal,2.5804,guechpisoco,0.909,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000075,pauguirugameke,Pauguirugameke,1,1,Wäſſerig,350,strong_raramuri_profile_signal,2.5718,pagotugameke,0.714,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000076,jolajameke,jolájameke,1,1,Thun,346,strong_raramuri_profile_signal,2.5662,jolajameka,0.9,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000077,pavoliki,Pavoliki,1,1,Abwaſchung,301,strong_raramuri_profile_signal,2.5573,pauvoliki,0.889,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000078,tselsiguala,Tſelſiguala,1,1,Traurigkeit,346,strong_raramuri_profile_signal,2.5267,telsiguala,0.909,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000079,pulaniki,Pulaniki,1,1,Sechs,340,strong_raramuri_profile_signal,2.5079,puaniki,0.875,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000080,cauguilu,Cauguilu,1,1,Wüſte,351,strong_raramuri_profile_signal,2.5022,cauguila,0.875,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000081,reguala,Reguála,1,1,Namen,333,strong_raramuri_profile_signal,2.4929,r-guala,0.857,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000082,tschipugameke,Tſchipúgameke,1,1,Stinken,344,strong_raramuri_profile_signal,2.4579,tschiperameke,0.846,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000083,tepulirugameke,Tepulirúgameke,1,1,Abhauen,301,strong_raramuri_profile_signal,2.4397,teculuameke,0.714,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000084,cusigameke,Cusigameke,1,1,Hölzern,325,strong_raramuri_profile_signal,2.4028,cusigueameke,0.833,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000085,segua,Seguá,1,1,Roſe,338,strong_raramuri_profile_signal,2.3953,segui,0.8,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000086,tseligua,Tſeliguá,1,1,Trauren,346,strong_raramuri_profile_signal,2.3894,t-fligua,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000087,jiki,Jiki,1,1,Zutragen,353,strong_raramuri_profile_signal,2.3888,juki,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000088,ikisiki,Ikisíki,1,1,Scheuen,338,strong_raramuri_profile_signal,2.3816,ikitsiki,0.875,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000089,mukiameke,Mukíameke,1,1,Ehemann,313,strong_raramuri_profile_signal,2.3807,mukijameke,0.9,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000090,regua,Reguá,1,1,Heiſſen,324,strong_raramuri_profile_signal,2.3762,r-gua,0.8,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000091,tschusigua,Tſchuſiguá,1,1,Nieſſen,334,strong_raramuri_profile_signal,2.3664,tirhutsigua,0.727,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000092,cato guila,cató guila,1,1,Strick,344,strong_raramuri_profile_signal,2.3477,cauguila,0.7,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000093,mujameke,Mujámeke,1,1,Verfault,347,strong_raramuri_profile_signal,2.3423,mukijameke,0.8,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000094,regui,Regui,1,1,Hinauf,324,strong_raramuri_profile_signal,2.341,regue,0.8,B_machine_documentary_signal,False,not_assessed
