concordance_id,graphic_key,rar_de_record_id,rar_de_form,rar_de_german_gloss,rar_de_page,de_rar_record_id,de_rar_headword,de_rar_page,reciprocal_german_support,reciprocal_support_type,human_reviewed,decision
RHD-ICONC-000026,batani,RHD-S1809-01680,Batáni,In Gegenwart,354,RHD-S1809-00576,Gegenwart,320,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000027,boni,RHD-S1809-01688,Boní,Schweſter,355,RHD-S1809-01159,Schweſter,340,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000028,bucaligua,RHD-S1809-01690,Bucáligua,"Rücken, Buckel",355,RHD-S1809-00312,Buckel,311,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000029,bucaligua,RHD-S1809-01690,Bucáligua,"Rücken, Buckel",355,RHD-S1809-01049,Rücken,338,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000030,buke,RHD-S1809-01693,Buké,"Haben, beſitzen, ſ",355,RHD-S1809-00241,Beſitzen,308,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000031,bula,RHD-S1809-01697,Bulá,Binden,355,RHD-S1809-00267,Binden,309,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000032,bura,RHD-S1809-01700,Búra,Hirſch,355,RHD-S1809-00727,Hirſch,325,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000033,cajena,RHD-S1809-01704,Cajena,"Vollenden, verfertigen, ausmachen",355,RHD-S1809-01424,Verfertigen,347,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000034,cajena,RHD-S1809-01704,Cajena,"Vollenden, verfertigen, ausmachen",355,RHD-S1809-01497,Vollenden,349,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000035,caliki,RHD-S1809-01708,Caliki,"Häuschen, Hütte",355,RHD-S1809-00753,Hütte,325,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000036,caliruje,RHD-S1809-01709,Caliruje,"Bauen, ſ",355,RHD-S1809-00185,Bauen,307,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000037,cau,RHD-S1809-01717,Caú,"Pferd, Roß",355,RHD-S1809-01005,Pferd,335,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000038,cauguila,RHD-S1809-01719,Cauguila,"Wüſte, Einöde",355,RHD-S1809-00399,Einöde,314,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000039,cavolameke,RHD-S1809-01720,Cavólameke,"oder cavórameke, kugelförmig",355,RHD-S1809-00840,Kugelförmig,328,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000040,cavoli,RHD-S1809-01722,Cavóli,Kugel,355,RHD-S1809-00839,Kugel,328,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000041,coa,RHD-S1809-01695,Coá,Eſſen,355,RHD-S1809-00460,Eſſen,315,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000042,coajameke,RHD-S1809-01696,Coajameke,das Eſſen,355,RHD-S1809-00460,Eſſen,315,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000043,cocola,RHD-S1809-01725,Cocolá,Krank ſeyn,355,RHD-S1809-00827,Krank ſeyn,327,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000044,coigua,RHD-S1809-01732,Coigua,Würzen,355,RHD-S1809-01574,Würzen,351,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000045,coiguala,RHD-S1809-01733,Coiguala,gute ſchmackhafte Speiſe,355,RHD-S1809-01221,Speiſe,342,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000046,cojatschi,RHD-S1809-01731,Cojatſchi,Hut,355,RHD-S1809-00750,Hut,325,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000047,colatschi,RHD-S1809-01736,Colatſchi,der Rabe,355,RHD-S1809-01019,Rabe,336,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000048,colo,RHD-S1809-01737,Coló,"Kranich, ſ",355,RHD-S1809-00819,Kranich,327,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000049,cosiki,RHD-S1809-01742,Cosiki,Baumwolle,355,RHD-S1809-00192,Baumwolle,307,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000050,cotschi,RHD-S1809-01744,Cotſchi,Schwein,355,RHD-S1809-01156,Schwein,340,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000051,cugue,RHD-S1809-01750,Cugué,"Spät, Nacht",356,RHD-S1809-00966,Nacht,333,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000052,cugue,RHD-S1809-01750,Cugué,"Spät, Nacht",356,RHD-S1809-01218,Spät,342,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000053,cugui,RHD-S1809-01751,Cuguí,Helfen,356,RHD-S1809-00678,Helfen,324,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000054,cuguiameke,RHD-S1809-01752,Cuguíameke,Helfer,356,RHD-S1809-00679,Helfer,324,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000055,culuameke,RHD-S1809-01754,Culúameke,"dick, fett, leibig, Schmeerbauch",356,RHD-S1809-00327,Dick,312,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000056,culuameke,RHD-S1809-01754,Culúameke,"dick, fett, leibig, Schmeerbauch",356,RHD-S1809-00492,Fett,316,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000057,cuna,RHD-S1809-01756,Cuná,Ehemann,356,RHD-S1809-00375,Ehemann,313,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000058,cusiki,RHD-S1809-01761,Cusíki,"Holz, Stab, Stecken, Prügel",356,RHD-S1809-00735,Holz,325,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000059,cusiki,RHD-S1809-01761,Cusíki,"Holz, Stab, Stecken, Prügel",356,RHD-S1809-01017,Prügel,336,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000060,cusiki,RHD-S1809-01761,Cusíki,"Holz, Stab, Stecken, Prügel",356,RHD-S1809-01254,Stab,343,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000061,cusiki,RHD-S1809-01761,Cusíki,"Holz, Stab, Stecken, Prügel",356,RHD-S1809-01262,Stecken,344,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000062,cutschiki,RHD-S1809-01766,Cutſchiki,Baum,356,RHD-S1809-00189,Baum,307,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000063,cutsi,RHD-S1809-01764,Cutsi,Kurz,356,RHD-S1809-00847,Kurz,328,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000064,cuvala,RHD-S1809-01767,Cuvála,"Gipfel, Spitze",356,RHD-S1809-01248,Spitze,343,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000065,echtscha,RHD-S1809-01771,Echtſchá,Säen,356,RHD-S1809-01061,Säen,338,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000066,eke,RHD-S1809-01774,Eke,"Zumachen, ſperren, ſchließen",356,RHD-S1809-01225,Sperren,342,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000067,ekipi,RHD-S1809-01776,Ekipi,Nicht viel,356,RHD-S1809-01480,Viel,348,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000068,ekitschipi,RHD-S1809-01781,Ekítschipí,Sehr wenig,356,RHD-S1809-01543,Wenig,350,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000069,ela,RHD-S1809-01782,Elá,"Verlangen, begehren",356,RHD-S1809-00203,Begehren,308,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000070,epulaca,RHD-S1809-01786,Epuláca,Schlüſſel,356,RHD-S1809-01126,Schlüſſel,339,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000071,era,RHD-S1809-01787,Éra,Thüre,356,RHD-S1809-01316,Thüre,346,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000072,eskiate,RHD-S1809-01790,Eskíate,Ist eine vom türkischen Waizengries dünn eingekochte Suppe,356,RHD-S1809-01303,Suppe,345,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000073,esse,RHD-S1809-01779,Eſſe,"Dieſer, dieſes",356,RHD-S1809-00331,Dieſer,312,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000074,etschaguala,RHD-S1809-01777,Etſchaguala,Bart,356,RHD-S1809-00177,Bart,307,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000075,gaele,RHD-S1809-01796,Gaëlé,Lieben,356,RHD-S1809-00885,Lieben,330,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000076,gane,RHD-S1809-01802,Gané,Recht gut,357,RHD-S1809-01028,Recht,336,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000077,ganeliameke,RHD-S1809-01804,Ganeliameke,"Der geſund iſt, dem es gut geht",357,RHD-S1809-00604,Geſund,320,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000078,ganileliki,RHD-S1809-01805,Ganileliki,Glückſeligkeit,357,RHD-S1809-00633,Glückſeligkeit,322,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000079,gassiniki,RHD-S1809-01809,Gassiníki,Husten,357,RHD-S1809-00749,Huſten,325,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000080,gatiki,RHD-S1809-01812,Gatiki,"oder gatiki, Wohnen, ſich wo befinden, ſeyn, ſ",357,RHD-S1809-01191,Seyn,341,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000081,gatiki,RHD-S1809-01812,Gatiki,"oder gatiki, Wohnen, ſich wo befinden, ſeyn, ſ",357,RHD-S1809-01557,Wohnen,351,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000082,gua,RHD-S1809-01814,Guá,"Schilf, Rohr",357,RHD-S1809-01042,Rohr,338,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000083,gua,RHD-S1809-01814,Guá,"Schilf, Rohr",357,RHD-S1809-01111,Schilf,338,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000084,guaca,RHD-S1809-01815,Guáca,"Pfeil, s",357,RHD-S1809-01001,Pfeil,335,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000085,guagua,RHD-S1809-01816,Guaguá,"Schlingen, schlucken",357,RHD-S1809-01125,Schlingen,339,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000086,guaki,RHD-S1809-01819,Guakí,Sich schneiden,357,RHD-S1809-01132,Schneiden,339,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000087,gualeke,RHD-S1809-01823,Gualéke,"Vielleicht, Etwan",357,RHD-S1809-01481,Vielleicht,348,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000088,guami,RHD-S1809-01825,Guamí,"Dort, weit, s",357,RHD-S1809-01539,Weit,350,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000089,guamina,RHD-S1809-01826,Guaminá,Weiter fort,357,RHD-S1809-01540,Weiter,350,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000090,guanogui,RHD-S1809-01828,Guanoguí,Vorgestern,357,RHD-S1809-01503,Vorgeſtern,349,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000091,guaugueke,RHD-S1809-01818,Guauguéke,gebratenes Fleisch,357,RHD-S1809-00510,Fleiſch,318,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000092,guaugueke,RHD-S1809-01818,Guauguéke,gebratenes Fleisch,357,RHD-S1809-00517,Fleiſch,318,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000093,guechpimela,RHD-S1809-01851,Guechpímela,Die Glocke läuten sollen,357,RHD-S1809-00631,Glocke,322,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000094,gueke,RHD-S1809-01842,Guéke,"Koth, Leim, s",357,RHD-S1809-00812,Koth,327,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000095,guelameke,RHD-S1809-01843,Guelámeke,altes Weib,357,RHD-S1809-01534,Weib,350,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000096,guele,RHD-S1809-01844,Guelé,"Dick, fett",357,RHD-S1809-00327,Dick,312,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000097,guele,RHD-S1809-01844,Guelé,"Dick, fett",357,RHD-S1809-00492,Fett,316,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000098,guelu,RHD-S1809-01846,Guelú,"Groß, lang",357,RHD-S1809-00855,Lang,328,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000099,guenomeatsi,RHD-S1809-01848,Guenomèatſi,"Bergwerk, Erzgrube",357,RHD-S1809-00230,Bergwerk,308,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000100,guenomeatsi,RHD-S1809-01848,Guenomèatſi,"Bergwerk, Erzgrube",357,RHD-S1809-00455,Erzgrube,315,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000101,guerachpeco,RHD-S1809-01850,Guerachpèco,Hernach,357,RHD-S1809-00689,Hernach,324,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000102,guicara,RHD-S1809-01854,Guicára,Singen,357,RHD-S1809-01201,Singen,341,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000103,guiki,RHD-S1809-01855,Guiki,Annehmen,357,RHD-S1809-00100,Annehmen,302,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000104,guitloco,RHD-S1809-01859,Guitlóco,"Hernach, demnach",357,RHD-S1809-00689,Hernach,324,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000105,haagameke,RHD-S1809-01865,Haagameke,Belebt,357,RHD-S1809-00219,Belebt,308,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000106,halesi,RHD-S1809-01867,Halesí,wilder Kürbis,357,RHD-S1809-00846,Kürbis,328,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000107,heicala,RHD-S1809-01875,Heicála,"Luft, Wind",358,RHD-S1809-00893,Luft,330,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000108,heicala,RHD-S1809-01875,Heicála,"Luft, Wind",358,RHD-S1809-01551,Wind,351,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000109,hena ibe,RHD-S1809-01876,Hená íbe,Da,358,RHD-S1809-00315,Da,311,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000110,hena ibe,RHD-S1809-01876,Hená íbe,Da,358,RHD-S1809-00316,Da,311,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000111,heregugui,RHD-S1809-01877,Hereguguí,Zusammenrotten,358,RHD-S1809-01631,Zuſammenrotten,352,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000112,hiaga,RHD-S1809-01880,Hiága,"anstatt hiágo, Mache geschwind, mache doch",358,RHD-S1809-00599,Geſchwind,320,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000113,hipeco,RHD-S1809-01884,Hipeco,Alſogleich,358,RHD-S1809-00025,"Alſobald, alſogleich",302,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000114,hoca,RHD-S1809-01887,Hóca,Dreſchen,358,RHD-S1809-00346,Dreſchen,313,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000115,hoguerana,RHD-S1809-01889,Hoguerána,"Links, linker Hand, linker Arm",358,RHD-S1809-00887,Links,330,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000116,hoje,RHD-S1809-01894,Hóje,"Fortſchreiten, gehen",358,RHD-S1809-00528,Fortſchreiten,318,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000117,hoje,RHD-S1809-01894,Hóje,"Fortſchreiten, gehen",358,RHD-S1809-00578,Gehen,320,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000118,hologua,RHD-S1809-01895,Hologuá,"Miſchen, Umrühren",358,RHD-S1809-00939,Miſchen,332,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000119,hologua,RHD-S1809-01895,Hologuá,"Miſchen, Umrühren",358,RHD-S1809-01370,Umrühren,347,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000120,hula,RHD-S1809-01901,Hulá,"Schicken, senden",358,RHD-S1809-01109,Schicken,338,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000121,hula,RHD-S1809-01901,Hulá,"Schicken, senden",358,RHD-S1809-01190,Senden,341,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000122,huli,RHD-S1809-01903,Huli,"Ein anderer, anderes",358,RHD-S1809-00089,Anderer,302,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000123,huma,RHD-S1809-01905,Humá,"Laufen, fliehen, ſich flüchten",358,RHD-S1809-00519,Flüchten,318,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000124,ibe,RHD-S1809-01912,Ibe,Da,358,RHD-S1809-00315,Da,311,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000125,ibe,RHD-S1809-01912,Ibe,Da,358,RHD-S1809-00316,Da,311,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000126,iche,RHD-S1809-01914,Iché,Dieſer,358,RHD-S1809-00331,Dieſer,312,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000127,igueruje,RHD-S1809-01926,Igueruje,Feſt machen,359,RHD-S1809-00490,Feſt,316,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000128,ikitsiki,RHD-S1809-01928,Ikitsiki,"Haſſen, Verabſcheuen",359,RHD-S1809-01412,Verabſcheuen,347,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000129,inoitsa,RHD-S1809-00044,Inoitſá,Arbeiten,359,RHD-S1809-00117,Arbeiten,304,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000130,inoitsamela,RHD-S1809-00045,Inoitſamela,"Man ſoll, oder muß arbeiten",359,RHD-S1809-00117,Arbeiten,304,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000131,inoitsanali,RHD-S1809-01930,Inoitſánali,Arbeit,359,RHD-S1809-00116,Arbeit,304,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000132,itschigua,RHD-S1809-01933,Itschiguá,Stehlen,359,RHD-S1809-01264,Stehlen,344,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000133,itschiguajameke,RHD-S1809-01934,Itſchiguájameke,Dieb,359,RHD-S1809-00328,Dieb,312,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000134,itschina,RHD-S1809-01935,Itschiná,Verbergen,359,RHD-S1809-01413,Verbergen,347,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000135,jassala,RHD-S1809-01910,Jaſſála,"Sitz, Stuhl, Bank",358,RHD-S1809-00172,Bank,306,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000136,jassala,RHD-S1809-01910,Jaſſála,"Sitz, Stuhl, Bank",358,RHD-S1809-01202,Sitz,341,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000137,jassala,RHD-S1809-01910,Jaſſála,"Sitz, Stuhl, Bank",358,RHD-S1809-01294,Stuhl,344,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000138,jauguila,RHD-S1809-01911,Jauguila,Tanz,358,RHD-S1809-01310,Tanz,345,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000139,jeje,RHD-S1809-00042,Jejé,Mutter,358,RHD-S1809-00958,Mutter,332,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000140,jela,RHD-S1809-01921,Jelá,Wollen,359,RHD-S1809-01566,Wollen,351,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000141,jola,RHD-S1809-00046,Jolá,Machen,359,RHD-S1809-00895,Machen,330,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000142,jomeiki,RHD-S1809-01932,Jomeíki,"Festtag, Feyertag",359,RHD-S1809-00491,Feſttag,316,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000143,juki,RHD-S1809-01937,Jukí,Donnerschlag,359,RHD-S1809-00335,Donnerſchlag,312,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000144,juma,RHD-S1809-01939,Jumá,"oder Jomá, Alles",359,RHD-S1809-00020,Alles,301,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000145,jumagua,RHD-S1809-01940,Jumaguá,Faſten,359,RHD-S1809-00471,Faſten,316,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000146,jumajumajameke,RHD-S1809-01942,Jumájumájameke,Allmächtig,359,RHD-S1809-00072,Allmächtig,301,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000147,kachka,RHD-S1809-01950,Kachká,Es ist süß,359,RHD-S1809-01304,Süß,345,true,german_headword_gloss_containment,false,not_assessed
RHD-ICONC-000148,kachkagameke,RHD-S1809-01951,Kachkágameke,Süß,359,RHD-S1809-01304,Süß,345,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000149,kake,RHD-S1809-01952,Kakè,Hören,359,RHD-S1809-00737,Hören,325,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000150,kauguaca,RHD-S1809-01953,Kauguáca,Ey,359,RHD-S1809-00466,Ey,316,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000151,keliki,RHD-S1809-01957,Kelíki,Sachte,359,RHD-S1809-01060,Sachte,338,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000152,kemaraje,RHD-S1809-01958,Kemáraje,Weben,359,RHD-S1809-01525,Weben,350,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000153,kepaliki,RHD-S1809-01959,Kepalíki,Schnee,359,RHD-S1809-01131,Schnee,339,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000154,khuta,RHD-S1809-01963,Khutá,Klein,359,RHD-S1809-00769,Klein,326,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000155,khutagala,RHD-S1809-01965,Khutágála,Obst,359,RHD-S1809-00986,Obſt,334,true,exact_normalized_german_headword_gloss_match,false,not_assessed
RHD-ICONC-000156,kia,RHD-S1809-01968,Kiá,Sonſt,359,RHD-S1809-01214,Sonſt,342,true,exact_normalized_german_headword_gloss_match,false,not_assessed
