member_id,graphic_key,surface_forms,exclusive_suffix_class,mechanically_stripped_suffix,mechanically_stripped_base,source_layers,printed_pages,german_contexts,internal_concordance_count,internal_reciprocal_german_support_count,human_reviewed
RHD-AMEKE-00090,repagatigameke,Repágatigameke,gameke,gameke,repagati,DE-RAR-residual-recovery,334,Oberer,0,0,False
RHD-AMEKE-00091,rolacameke,Rolácameke,ameke_other,ameke,rolac,DE-RAR-residual-recovery,350,Weiß,0,0,False
RHD-AMEKE-00092,rosacameke,Roſácameke,ameke_other,ameke,rosac,RAR-DE,365,oder toſácameke,0,0,False
RHD-AMEKE-00093,saaeameke,Saaéameke,ameke_other,ameke,saae,DE-RAR-residual-recovery,338,Sandig,0,0,False
RHD-AMEKE-00094,saateameke,Saatéameke,ameke_other,ameke,saate,RAR-DE,365,Sandig,0,0,False
RHD-AMEKE-00095,sakiameke,Sakiameke,iameke,iameke,sak,DE-RAR-residual-recovery,313,Dürr,0,0,False
RHD-AMEKE-00096,samiameke,Samiámeke,iameke,iameke,sam,RAR-DE,365,Feucht,1,1,False
RHD-AMEKE-00097,sapeameke,Sapéameke,ameke_other,ameke,sape,DE-RAR-residual-recovery,318,Fleiſchig,0,0,False
RHD-AMEKE-00098,satiameke,Satiameke,iameke,iameke,sat,RAR-DE,365,Anfechter,2,1,False
RHD-AMEKE-00099,schiojameke,Schiójameke,jameke,jameke,schio,RAR-DE,365,Blau,0,0,False
RHD-AMEKE-00100,schugiameke,Schugiámeke,iameke,iameke,schug,RAR-DE,365,"Es ist ausgegangen, hat abgenommen",0,0,False
RHD-AMEKE-00101,schuguiameke,Schuguiameke | ſchuguiameke,iameke,iameke,schugu,DE-RAR-residual-recovery,346 | 348,Todtſeyn | Verzehren | Verſtorben,0,0,False
RHD-AMEKE-00102,seliameke,Seliameke,iameke,iameke,sel,RAR-DE,365,So nennen ſie ihren Dorfrichter,1,0,False
RHD-AMEKE-00103,sikirugameke,Sikirúgameke,ugameke,ugameke,sikir,RAR-DE,365,Zerhauenes,3,0,False
RHD-AMEKE-00104,simiameke,Simiameke,iameke,iameke,sim,DE-RAR-residual-recovery,301,Abgehen,0,0,False
RHD-AMEKE-00105,sriameke,Sriameke,iameke,iameke,sr,DE-RAR-residual-recovery,338,Satan,0,0,False
RHD-AMEKE-00106,stacameke,Stácameke,ameke_other,ameke,stac,RAR-DE,368,oder Stácameke,1,0,False
RHD-AMEKE-00107,ta bassigameke,Tá baſſigameke,gameke,gameke,ta bassi,DE-RAR-residual-recovery,347,Unzeitig,0,0,False
RHD-AMEKE-00108,ta mahajameke,Tá mahajámeke,jameke,jameke,ta maha,DE-RAR-residual-recovery,347,Unerſchrocken,0,0,False
RHD-AMEKE-00109,ta matschigameke,Tá matſchigameke,gameke,gameke,ta matschi,DE-RAR-residual-recovery,347,Unkundig | Unwiſſend,0,0,False
RHD-AMEKE-00110,ta mukilatiameke,tá mukílatiameke,iameke,iameke,ta mukilat,DE-RAR-residual-recovery,344,Sterblich,0,0,False
RHD-AMEKE-00111,ta pagotugameke,Tà pagotúgameke | Tá pagótugameke,ugameke,ugameke,ta pagot,DE-RAR-residual-recovery,323 | 347,Heide | Ungewaſchen,0,0,False
RHD-AMEKE-00112,ta sapeameke,Tá ſapéameke,ameke_other,ameke,ta sape,DE-RAR-residual-recovery,331,Mager,0,0,False
RHD-AMEKE-00113,ta schuguiameke,Tá ſchuguiameke,iameke,iameke,ta schugu,DE-RAR-residual-recovery,347,Unendlich,0,0,False
RHD-AMEKE-00114,tamatischigameke,Támatiſchigameke,gameke,gameke,tamatischi,DE-RAR-residual-recovery,309,Blind,0,0,False
RHD-AMEKE-00115,tameke,Tameké,ameke_other,ameke,t,RAR-DE,366,Wir,0,0,False
RHD-AMEKE-00116,tanarugameke,tanarúgameke,ugameke,ugameke,tanar,DE-RAR-residual-recovery,352,Zeugen,0,0,False
RHD-AMEKE-00117,taragameke,Taragameke,gameke,gameke,tara,RAR-DE,366,Zähler,1,0,False
RHD-AMEKE-00118,taslo upeameke,Taſló upéameke,ameke_other,ameke,taslo upe,DE-RAR-residual-recovery,347,Unbeweibt | Unverehelicht,0,0,False
RHD-AMEKE-00119,teculuameke,Teculüameke,ameke_other,ameke,teculu,RAR-DE,366,Berauſcht,4,0,False
RHD-AMEKE-00120,tehimeameke,Tehiméameke,ameke_other,ameke,tehime,RAR-DE,366,Verwandter,2,1,False
RHD-AMEKE-00121,tele uliameke,telé ulíameke,iameke,iameke,tele ul,DE-RAR-residual-recovery,344,Stein,0,0,False
RHD-AMEKE-00122,telegatigameke,Telégatigámeke,gameke,gameke,telegati,RAR-DE,367,"der unten iſt, ſ",1,0,False
RHD-AMEKE-00123,tepagatigameke,Tepágatigámeke,gameke,gameke,tepagati,RAR-DE,367,ſ,0,0,False
