member_id,record_id,exclusive_suffix_class,analysis_token_key,source_direction,gloss_evidence_tier,source_verified_german_gloss,machine_parsed_german_context,german_context_for_analysis,functional_surface_proxy,german_documentary_domain_proxies,human_reviewed
RHD-AMEKE-00117,RHD-S1809-02336,gameke,taragameke,RAR-DE,source_verified_rar_de_article_gloss,Zähler,,Zähler,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00119,RHD-S1809-02353,ameke_other,teculuameke,RAR-DE,source_verified_rar_de_article_gloss,Berauſcht,,Berauſcht,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00120,RHD-S1809-02359,ameke_other,tehimeameke,RAR-DE,source_verified_rar_de_article_gloss,Verwandter,,Verwandter,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00122,RHD-S1809-02367,gameke,telegatigameke,RAR-DE,source_verified_rar_de_article_gloss,"der unten iſt, ſ",,"der unten iſt, ſ",multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00123,RHD-S1809-02383,gameke,tepagatigameke,RAR-DE,source_verified_rar_de_article_gloss,ſ,,ſ,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00128,RHD-S1809-02466,ameke_other,tlestataccameke,RAR-DE,source_verified_rar_de_article_gloss,oder Stácameke,,oder Stácameke,multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00129,RHD-S1809-02404,ameke_other,tosacameke,RAR-DE,source_verified_rar_de_article_gloss,Weiß,,Weiß,other_single_word_proxy,color_property_proxy,False
RHD-AMEKE-00130,RHD-S1809-02410,jameke,tsainijolajameke,RAR-DE,source_verified_rar_de_article_gloss,Der Böſes thut,,Der Böſes thut,multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00133,RHD-S1809-02426,ameke_other,tschiperameke,RAR-DE,source_verified_rar_de_article_gloss,Fein,,Fein,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00135,RHD-S1809-02440,ameke_other,tschirulameke,RAR-DE,source_verified_rar_de_article_gloss,Rund,,Rund,other_single_word_proxy,physical_property_proxy,False
RHD-AMEKE-00136,RHD-S1809-02434,iameke,tschitschiameke,RAR-DE,source_verified_rar_de_article_gloss,Säugling,,Säugling,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00139,RHD-S1809-02453,ameke_other,tschulugeameke,RAR-DE,source_verified_rar_de_article_gloss,Hungrig,,Hungrig,property_surface_proxy,state_condition_proxy,False
RHD-AMEKE-00142,RHD-S1809-02470,jameke,tsetijolajameke,RAR-DE,source_verified_rar_de_article_gloss,Uebelthäter,,Uebelthäter,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00145,RHD-S1809-02480,ameke_other,uelameke,RAR-DE,source_verified_rar_de_article_gloss,Altes Weib,,Altes Weib,multiword_or_ambiguous_proxy,human_person_agent_proxy,False
RHD-AMEKE-00146,RHD-S1809-02490,ameke_other,upeameke,RAR-DE,source_verified_rar_de_article_gloss,"Ein Verheyratheter, Ehemann",,"Ein Verheyratheter, Ehemann",multiword_or_ambiguous_proxy,human_person_agent_proxy,False
RHD-AMEKE-00147,RHD-S1809-02481,iameke,veniameke,RAR-DE,source_verified_rar_de_article_gloss,Zahm,,Zahm,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00104,RHD-S1809-00001,iameke,simiameke,DE-RAR,machine_local_de_rar_low_risk,,Abgehend,Abgehend,present_participle_surface_proxy,process_result_surface_proxy,False
RHD-AMEKE-00124,RHD-S1809-00003,ugameke,tepulirugameke,DE-RAR,machine_local_de_rar_high_risk,,Abgehauen,Abgehauen,past_participle_surface_proxy,process_result_surface_proxy,False
RHD-AMEKE-00075,RHD-S1809-00011,ugameke,pagorugameke,DE-RAR,machine_local_de_rar_low_risk,,Abgewaſchen,Abgewaſchen,past_participle_surface_proxy,process_result_surface_proxy,False
RHD-AMEKE-00033,RHD-S1809-00007,ugameke,hulirugameke,DE-RAR,machine_local_de_rar_low_risk,,Abgeſchickt,Abgeſchickt,past_participle_surface_proxy,process_result_surface_proxy,False
RHD-AMEKE-00044,RHD-S1809-00073,gameke,jumamatsigameke,DE-RAR,machine_local_de_rar_high_risk,,Allwiſſend,Allwiſſend,present_participle_surface_proxy,state_condition_proxy | process_result_surface_proxy,False
RHD-AMEKE-00071,RHD-S1809-00133,ameke_other,ogueameke,DE-RAR,machine_local_de_rar_high_risk,,Arzney,Arzney,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00021,RHD-S1809-00178,ameke_other,etschagueameke,DE-RAR,machine_local_de_rar_high_risk,,Bärtig,Bärtig,property_surface_proxy,other_or_unclassified,False
RHD-AMEKE-00083,RHD-S1809-00194,ugameke,polirugameke,DE-RAR,machine_local_de_rar_low_risk,,Bedeckt,Bedeckt,past_participle_surface_proxy,process_result_surface_proxy,False
