source_ocr_line,direction,printed_page,pdf_page,text
936,DE-RAR,304,14,ſie dem Feuergeſchuͤtze da⸗ 
937,DE-RAR,304,14,"rum vorziehen, well der "
938,DE-RAR,304,14,"Indianer, eher als ein "
939,DE-RAR,304,14,Feuergewehr nochmals ge: 
940,DE-RAR,304,14,"laden wird, bis dreiſig "
941,DE-RAR,304,14,Pfeile abdruͤcket. Mit den 
942,DE-RAR,304,14,erſten drey Schuͤſſen wird 
943,DE-RAR,304,14,"ein Bret durchgebohrt, und "
944,DE-RAR,304,14,in dem Fluge iſt von dem 
947,DE-RAR,304,14,"Pfeile eben ſo wenig, als "
948,DE-RAR,304,14,von einer Kugel zu ſehen. 
951,DE-RAR,304,14,Weil aber durch die gewal⸗ 
952,DE-RAR,304,14,tige Spannung die Seite 
953,DE-RAR,304,14,"doch ausgedehnt wird, ſo "
954,DE-RAR,304,14,laſſen ſich die hinten an dem 
955,DE-RAR,304,14,"Pfeile angebrachten, "
956,DE-RAR,304,14,"geſtutzten drey Federchen, "
957,DE-RAR,304,14,wie ein kleines Raͤdlein in 
958,DE-RAR,304,14,der Luft bemerken. In die⸗ 
959,DE-RAR,304,14,ſer Schießkunſt find alle In⸗ 
960,DE-RAR,304,14,"dianer trefflich geuͤbt, da⸗ "
961,DE-RAR,304,14,her ſie einen Pfeil nicht ſo 
962,DE-RAR,304,14,leicht verwerfen. Sie wi: 
965,DE-RAR,304,14,Man ſoll oder muß 
968,DE-RAR,304,14,Aufladen. 
971,DE-RAR,304,14,und 
974,DE-RAR,304,14,Deutſch Tarahumariſches 
977,DE-RAR,305,15,"‚fen auch, ihm beym Ab: "
978,DE-RAR,305,15,druͤcken eine fo unverfehene 
979,DE-RAR,305,15,und ſchnelle Richtung zu 
980,DE-RAR,305,15,"geben, daß ſie nicht den, "
981,DE-RAR,305,15,"auf welchen ſie zielen, ſon⸗ "
982,DE-RAR,305,15,"dern einen andern, den ſie "
985,DE-RAR,305,15,wollen treffen. Der Ta⸗ 
986,DE-RAR,305,15,rahumare geht allezeit mit 
987,DE-RAR,305,15,"ſeinem Bogen auf dem Arm, "
988,DE-RAR,305,15,mit- ſeinem Koͤcher auf dem 
989,DE-RAR,305,15,"‚Rüden, und mit zween "
990,DE-RAR,305,15,"Pfeilen in der- Hand, damit "
991,DE-RAR,305,15,er jederzeit fertig ſey. 
992,DE-RAR,305,15,Arsch. Mujdes. 2 
993,DE-RAR,305,15,Arzney. Ogusameke. 
994,DE-RAR,305,15,Aſche. Nacbpisdco. 
995,DE-RAR,305,15,Auch. Puse Kae 
996,DE-RAR,305,15,Auf. Tschic. Wird allzeit 
997,DE-RAR,305,15,"nachgeſetzt, und dem Worte "
998,DE-RAR,305,15,"angehaͤngt, z. B. auf der "
999,DE-RAR,305,15,"Hand, ccatſchie. . "
1000,DE-RAR,305,15,"Aufbehalten, bewahren. Nelss. "
1001,DE-RAR,305,15,Aufbinden. Borane. Aufge⸗ 
1002,DE-RAR,305,15,"bunden. Botaneameke, "
1003,DE-RAR,305,15,"Aufhoͤren. Aregué, regue, "
1004,DE-RAR,305,15,"1. Bald, Was bela⸗ "
1005,DE-RAR,305,15,"den iſt worden, Balaliruc. "
1006,DE-RAR,305,15,Das ruc iſt ein Huͤlfswort 
1007,DE-RAR,305,15,"der leidenden Bedeutung, "
1008,DE-RAR,305,15,wie das ruje der wirkenden 
1009,DE-RAR,305,15,"iſt. Es deutet an, daß die⸗ "
1010,DE-RAR,305,15,"ſes gemacht worden, was "
1011,DE-RAR,305,15,"das Zeitwort ausdruͤcket, "
1012,DE-RAR,305,15,wie in der Vorrede geſagt 
1015,DE-RAR,305,15,wurde. 
1016,DE-RAR,305,15,"Aufloͤſen, ſ. Aufbinden. "
1019,DE-RAR,305,15,"Aufmachen, d. i. Öffnen. Epüa⸗ "
1022,DE-RAR,305,15,D * 
1025,DE-RAR,305,15,"je, epuje. "
1028,DE-RAR,305,15,Aufmerken. Gane kake. 
1031,DE-RAR,305,15,"Aufſchlieſſen, aufſperren, ſ. "
1032,DE-RAR,305,15,aufmachen. a 
1033,DE-RAR,305,15,"Aufſpielen, Muſikmachen. Tas. "
1034,DE-RAR,305,15,"Man ſoll aufſpielen, man "
1035,DE-RAR,305,15,"fol Muſik machen, tapon. "
1036,DE-RAR,305,15,vom Tode. Hafla- . 
1039,DE-RAR,305,15,Auf⸗ ' 
1042,DE-RAR,305,15,"Aufſtehen, "
1045,DE-RAR,305,15,guad. 
1048,DE-RAR,305,15,| Woͤrterbuch. 305 
1051,DE-RAR,305,15,22 2 
1052,DE-RAR,305,15,lufſteigen. Tepäsne ſimi. 
1053,DE-RAR,305,15,"len Bulsa, pula. Ber: "
1054,DE-RAR,305,15,ſtehe: vom Schlafe. 
1055,DE-RAR,305,15,"luge. Pusiki, mit Augen, "
1056,DE-RAR,305,15,Pusiraſe. a: 
1057,DE-RAR,305,15,lugenblick. Dieſen Augen: 
1058,DE-RAR,305,15,"blick, Hipela. "
1059,DE-RAR,305,15,lus. Dieſes Vorwort man⸗ 
1062,DE-RAR,305,15,"gelt. Es iſt aus, cajẽnapa. "
1065,DE-RAR,305,15,N pere. 
1066,DE-RAR,305,15,usfuͤllen. Putlcha. 
1069,DE-RAR,305,15,lusgehen. Matfchine ſimi. 
1072,DE-RAR,305,15,lusgetrunken. Sie zeigen 
1075,DE-RAR,305,15,"das Geſchirr, und fagen: "
1076,DE-RAR,305,15,Suguiepa. 
1077,DE-RAR,305,15,"lusgießen. Comigua, "
1078,DE-RAR,305,15,lushöͤhlen. Roco. 
1079,DE-RAR,305,15,"lusjaten. Nachpigua, "
1080,DE-RAR,305,15,luskehren. Petsiki. Man 
1081,DE-RAR,305,15,"ſoll auskehren, petsimela, "
1083,DE-RAR,305,15,| 
1086,DE-RAR,305,15,Sid: 118 Hdco. ’ > 
1087,DE-RAR,305,15,usloͤſchen. Tfchougua. Na- 
1088,DE-RAR,305,15,homa. Soigua. ’ 
1091,DE-RAR,305,15,"lusmachen, vollenden. Cojena, "
1094,DE-RAR,305,15,lusmeſſen. Nanagua. 
1095,DE-RAR,305,15,"lusrotten. Nachpigua, "
1096,DE-RAR,305,15,"lüsſaz, Tiebs. - "
1097,DE-RAR,305,15,lusſchuͤtten. Comigua. 
1098,DE-RAR,305,15,lusſpeyen. Acatsi. 
1099,DE-RAR,305,15,lusſpruch. Neogala. 
1100,DE-RAR,305,15,lusſpuͤrzen. Acatsı A 
1101,DE-RAR,305,15,"luſſen, auswärts. Matichi. "
1102,DE-RAR,305,15,"lusſtreichen. Nahoma, "
1103,DE-RAR,305,15,7 8 B. } 
1106,DE-RAR,305,15,ach. kanu 
1109,DE-RAR,305,15,Backenſtreich. Tlehotſchonala. 
1112,DE-RAR,305,15,"Bad, Warmbad. Vaflürfchi, "
1113,DE-RAR,305,15,Baden. Uvanale. a und 
1114,DE-RAR,305,15,Schwimmen koͤnnen die Tas 
1117,DE-RAR,305,15,rahumaren gar wohl. Sie 
1118,DE-RAR,305,15,"koͤnnen ſich, gleich den Bu⸗ "
1119,DE-RAR,305,15,ſos der Marinaͤren unter 
1120,DE-RAR,305,15,"das Waſſer tauchen, und "
1122,DE-RAR,305,15,lange Zeit in der Tiefe aus⸗ 
1125,DE-RAR,305,15,"1 fengehelt, denn fonft wäre "
1128,DE-RAR,305,15,halten. 36 habe die Probe 
1131,DE-RAR,305,15,von ihrer Schwimmkunſt 
1132,DE-RAR,305,15,"geſehen, da ſie mich einer "
1133,DE-RAR,305,15,dringenden Urſache wegen 
1134,DE-RAR,305,15,uͤber einen ſehr angeſchwol⸗ 
1135,DE-RAR,305,15,"lenen Fluß, nur in einen "
1136,DE-RAR,305,15,durchloͤcherten und mit 
1137,DE-RAR,305,15,Kothwaſſer verſtopften hoh⸗ 
1140,DE-RAR,306,16,len Baume gebracht heben. 
1143,DE-RAR,306,16,Dreye faßten das Ende des 
1144,DE-RAR,306,16,"Strickes und ſchwammen, "
1145,DE-RAR,306,16,der Strick aber wurde von 
1146,DE-RAR,306,16,"den Strome hingeriſſen, "
1147,DE-RAR,306,16,"und machte einen Zirkel, der "
1148,DE-RAR,306,16,"ihnen an die Fuͤſſe kam, "
1151,DE-RAR,306,16,u. ſie gewaltig zuruͤcktrieb. 
1154,DE-RAR,306,16,Sie wurden ruͤckwaͤrts in 
1155,DE-RAR,306,16,"das Waſſer geriſſen, fo daß "
1158,DE-RAR,306,16,eine Zeit von ihnen nichts 
1161,DE-RAR,306,16,zu ſehen war. Allein ſie 
1162,DE-RAR,306,16,"kamen bald in die Hoͤhe, "
1163,DE-RAR,306,16,und traten gluͤcklich an das 
1164,DE-RAR,306,16,"Ufer. — Iſt ein Fluß, wie "
1165,DE-RAR,306,16,es ſich in jenem Gebirge oft 
1166,DE-RAR,306,16,"ereignet, zu ſehr einge⸗ "
1169,DE-RAR,306,16,"ſchraͤnkt, und durch große "
1172,DE-RAR,306,16,"Platzregen zu reiſſend, ſo daß "
1173,DE-RAR,306,16,"man ſich nicht getrauet, mit "
1174,DE-RAR,306,16,"dem Pferde über zu ſetzen, "
1175,DE-RAR,306,16,ſo wird man von ihnen alſo 
1176,DE-RAR,306,16,"hinüͤbergebracht, wie ich es "
1177,DE-RAR,306,16,auch erfahren habe. Man 
1180,DE-RAR,306,16,ſetzt ſich einem auf den Na⸗ 
1183,DE-RAR,306,16,"cken, ergreift ihn beym "
1184,DE-RAR,306,16,"Schopfe, und haͤlt ſich feſt, "
1185,DE-RAR,306,16,da er zugleich mit beyden 
1186,DE-RAR,306,16,Haͤnden die 
1187,DE-RAR,306,16,Sitzenden zuſammenfaſſet. 
1188,DE-RAR,306,16,Auf beiden Seiten ſtellen ſich 
1191,DE-RAR,306,16,zween mit einer dicken Stan⸗ 
1192,DE-RAR,306,16,"ge in das Waſſer, und er⸗ "
1195,DE-RAR,306,16,greifen den Traͤger unter 
1196,DE-RAR,306,16,ſeinen Armen. Bey jedem 
1197,DE-RAR,306,16,Schritte wird erſt die Stan⸗ 
1199,DE-RAR,306,16,e vorwaͤrts in dem Waſſer 
1202,DE-RAR,306,16,es 
1205,DE-RAR,306,16,Fuͤſſe des 
1208,DE-RAR,306,16,j) 
1209,DE-RAR,306,16,| 
1210,DE-RAR,306,16,| 
1211,DE-RAR,306,16,| 
